epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,707.703,0.84509,0.33769,0.89829,0.99905,1,0.995,0.97426,0.51021,0.21366,0.79594,0.000958669,0.000958669,0.000958669
133,713.339,0.8198,0.32548,0.89173,0.99808,1,0.995,0.97495,0.50665,0.21837,0.79176,0.000958044,0.000958044,0.000958044
134,718.646,0.8537,0.33606,0.88002,0.99838,1,0.995,0.97791,0.48572,0.21718,0.79554,0.000957416,0.000957416,0.000957416
135,724.157,0.79831,0.31698,0.87627,0.99875,1,0.995,0.97539,0.49368,0.2142,0.78867,0.000956782,0.000956782,0.000956782
136,729.41,0.77314,0.31845,0.87563,0.99791,1,0.995,0.97972,0.4756,0.20248,0.79709,0.000956145,0.000956145,0.000956145
137,734.585,0.78361,0.31623,0.88335,0.99843,1,0.995,0.97746,0.50487,0.20923,0.79672,0.000955502,0.000955502,0.000955502
138,739.843,0.79247,0.31724,0.89519,0.99866,1,0.995,0.97736,0.49527,0.21568,0.79999,0.000954856,0.000954856,0.000954856
139,745.057,0.80474,0.32535,0.88064,0.99813,0.99835,0.995,0.97499,0.5175,0.22136,0.81003,0.000954205,0.000954205,0.000954205
140,751.333,0.78289,0.31822,0.89646,0.99869,1,0.995,0.98,0.51692,0.20593,0.80833,0.000953549,0.000953549,0.000953549
141,756.212,0.82437,0.3218,0.88622,0.99856,0.99897,0.995,0.98333,0.49344,0.21109,0.78907,0.000952889,0.000952889,0.000952889
142,762.062,0.76201,0.30539,0.87022,0.99832,1,0.995,0.98413,0.46586,0.20251,0.78547,0.000952225,0.000952225,0.000952225
143,767.471,0.82544,0.32748,0.88342,0.99904,1,0.995,0.98184,0.52248,0.21916,0.81162,0.000951556,0.000951556,0.000951556
144,772.79,0.78638,0.31987,0.88288,0.99886,1,0.995,0.97832,0.48352,0.21488,0.80419,0.000950883,0.000950883,0.000950883
145,776.975,0.82293,0.32904,0.8815,0.99792,1,0.995,0.9698,0.54119,0.21735,0.81218,0.000950206,0.000950206,0.000950206
146,782.122,0.82923,0.33359,0.89553,0.99816,1,0.995,0.97115,0.52787,0.22583,0.8043,0.000949524,0.000949524,0.000949524
147,787.458,0.80096,0.32299,0.8848,0.99788,1,0.995,0.98041,0.45465,0.20935,0.7852,0.000948837,0.000948837,0.000948837
148,793.242,0.79413,0.31419,0.8865,0.98899,1,0.99491,0.97758,0.48294,0.2021,0.78556,0.000948147,0.000948147,0.000948147
149,798.503,0.84976,0.33249,0.89269,0.99792,0.99995,0.995,0.97768,0.48177,0.20778,0.78766,0.000947452,0.000947452,0.000947452
150,803.878,0.79333,0.30706,0.87935,0.99823,1,0.995,0.98569,0.48715,0.20973,0.7868,0.000946752,0.000946752,0.000946752
151,809.439,0.78931,0.31265,0.87714,0.99847,1,0.995,0.9779,0.49512,0.21013,0.78551,0.000946048,0.000946048,0.000946048
152,814.762,0.83223,0.33713,0.8948,0.9988,0.99837,0.995,0.98014,0.4574,0.20504,0.78938,0.00094534,0.00094534,0.00094534
153,820.275,0.86958,0.34604,0.89702,0.99251,0.99901,0.995,0.97717,0.49905,0.21826,0.78883,0.000944628,0.000944628,0.000944628
154,825.908,0.78838,0.31297,0.88554,0.99745,0.99924,0.995,0.97995,0.50191,0.21715,0.79804,0.000943911,0.000943911,0.000943911
155,830.822,0.77774,0.303,0.87429,0.99882,1,0.995,0.97744,0.49333,0.21322,0.79124,0.000943189,0.000943189,0.000943189
156,835.878,0.80766,0.31376,0.87959,0.99804,0.99982,0.995,0.97493,0.51074,0.20841,0.80213,0.000942464,0.000942464,0.000942464
